,conversion
10747555,0
7824856,0
9511737,0
759604,0
5473452,0
10161279,0
11386046,0
6347638,0
215008,0
1726266,0
5954431,0
4097481,0
6540128,0
2453504,0
8255289,0
8094747,0
11041412,0
13047999,0
2884542,0
7570506,0
3038330,0
6587860,0
7289291,0
9711711,0
2356705,0
4589821,0
999648,0
4600811,0
9346334,0
13293989,0
8044738,0
12004599,0
8024370,0
3516678,0
7986843,0
4188662,0
9661207,0
2420801,0
4886507,0
851614,0
13803310,0
4163904,0
259554,0
3880576,0
1874928,0
3719546,0
5285348,0
12641399,0
2220751,0
6901707,0
9988160,0
3264392,0
8942709,0
9077401,0
13921429,0
8852885,0
4720814,0
9745594,0
2885352,0
3529548,0
8515737,0
889441,0
13073461,0
1476813,0
6198098,0
2432809,0
8846036,0
9239748,0
7095128,0
4073526,0
4426954,0
8706748,0
4755288,0
1971935,0
5660450,0
5868145,0
9156597,0
5407180,0
2351622,0
12236572,0
3791521,0
9462790,0
5181044,0
274258,0
1452139,0
7775021,0
7559098,0
6873185,0
4576094,0
3143354,0
12492639,0
3253379,0
8320025,0
10123003,0
2625176,0
5781150,0
12426182,0
84898,0
2068297,0
3561612,0
5134866,0
5476070,0
7408788,0
6826986,0
5018948,0
11200922,0
5243585,0
12475816,0
3810004,0
5965455,0
1576554,0
10141225,0
4252955,0
4483200,0
7020530,0
5380796,1
4314163,0
13117132,0
9608151,0
9109657,0
3984471,0
11529555,0
2545489,0
2819492,0
12984063,0
4170669,0
6067416,0
3458762,0
10376400,0
1519906,0
4929938,0
8681986,0
7829768,0
8397774,0
13247767,0
5099288,0
5708116,0
727459,0
1572030,0
12330359,0
13715527,0
2691169,0
7157710,0
7569448,0
12944465,0
5608115,0
3115035,0
6989538,0
524127,0
11385981,0
12702745,0
13121955,0
10960826,0
2753921,0
1079686,0
10025094,0
5531540,0
8375969,0
12382401,0
13566980,0
3792741,0
42374,0
7223008,0
8295249,0
796463,0
3364753,0
10257203,0
8810144,0
12877267,0
13401479,0
4384876,0
5180645,0
8806095,0
2910215,0
3834670,0
10048196,0
4084379,0
7507365,0
5486058,0
6301324,0
9322484,0
10965180,0
10319135,0
1756458,0
13761977,0
2886951,0
440647,0
8843963,0
9475906,0
9295737,0
7330510,0
8457102,0
1283382,0
1323832,0
1460599,0
12923704,0
661016,0
5574858,0
4908797,0
3404106,0
6557538,0
4173042,0
1527010,0
1729608,0
7749315,0
11271085,0
8139205,0
7705593,0
8422946,0
10482521,0
8349203,0
5844454,0
2071835,0
7650046,0
11114396,0
4872232,0
10188274,0
9907027,0
4104342,0
2620405,0
9029388,0
13697157,0
1234234,0
8509427,0
4683310,0
1569531,0
9611125,0
10681972,0
9306684,0
3011481,0
776185,0
9804939,0
2285029,0
2940331,0
9669718,0
5493308,0
3880952,0
10247368,0
3259042,0
8289690,0
13425080,0
9910613,0
10547996,0
12099257,0
13278120,0
8382425,0
1497160,0
6271972,0
9101178,0
9118769,0
3902466,0
9175855,0
7486608,0
7661832,0
9120247,0
11170822,0
5091079,0
9177501,0
10151941,0
5592417,0
1128316,0
11774498,0
5406630,0
497669,0
7935372,0
6459073,0
5610855,0
10284323,0
1042944,0
11205190,0
1751474,0
13761856,0
10173410,0
5691404,0
13219907,0
424477,0
2072333,0
8024234,0
699140,0
4380035,0
4940276,0
875828,0
12547476,0
1819141,0
2475546,0
4137034,0
1436465,0
2994005,0
13183752,0
5601333,0
4304203,0
6669431,0
10989366,0
1482334,0
8593874,0
9318191,0
3393447,0
928282,0
7610506,0
6525278,0
9656355,0
7354638,0
8817029,0
13237830,0
5654526,0
5185995,0
9825188,0
2069987,0
4200419,0
8042754,0
12964531,0
6699294,0
2235246,0
3320852,0
9651273,0
6249867,0
5980184,0
13275499,0
2746213,0
9511924,0
10253839,0
5406228,0
7712060,0
10616845,0
12749751,0
9914613,0
6470884,0
8693719,0
10890518,0
2922929,0
12376667,0
9698285,0
10892756,0
10557830,0
7245376,0
10472620,0
3623629,0
11004912,0
4958640,0
3292709,0
3685519,0
5329277,0
12188724,0
9633355,0
9030921,0
11869377,0
10034910,0
12430881,0
11000214,0
4517248,0
9471522,0
2326969,0
6236869,0
4870116,0
6112205,0
8695808,0
12515024,0
12366553,0
13411902,0
11362163,0
9795491,0
11499771,0
3291322,0
7696297,0
927378,0
7224478,0
12234973,0
3573724,0
10186757,0
2238032,0
7400646,0
8151979,0
1761169,0
8889104,0
5238180,0
11147077,0
13845940,0
1392555,0
13580309,0
11864548,0
11374270,0
8976649,0
5138856,0
7527991,0
4844015,0
6592616,0
6418472,0
5420302,0
966107,0
12253692,0
299407,0
13035896,0
5949839,0
6962230,0
11401088,0
4874126,0
2257763,0
13834099,0
6157845,0
10730445,0
10863401,0
2188985,0
3393875,0
10459695,0
13777434,0
9371654,0
3034708,0
4482892,0
739990,0
7107025,0
7830574,0
13884430,0
1137806,0
3979934,0
11869851,0
5529492,0
6563978,0
11317026,0
11356952,0
6617997,0
12319691,0
11628736,0
12638666,0
7246955,0
12783717,0
9733787,0
2025788,0
4632876,0
227975,0
3324726,0
4066101,0
1986834,0
1326200,0
5883191,0
8288983,0
630719,0
1790529,0
11357125,0
2268146,0
5524031,0
12774160,0
11648142,0
7870183,0
9782715,0
12090676,0
6813769,0
1783934,0
7038301,0
6907003,0
4154494,0
10530446,0
3999289,0
1615659,0
9072528,0
11476258,0
9498541,0
4263292,0
11530582,0
2310351,0
8740453,0
1550303,0
7770322,0
9234814,0
8496735,0
5873211,0
1968791,0
5555396,0
8455381,0
1357526,0
7446338,0
3600363,0
3462554,0
9563370,0
6110566,0
7455569,0
7236511,0
12953179,0
1996235,0
6974457,0
12744903,0
153947,0
11909460,0
11345643,0
9722896,0
13736231,0
6441472,0
6659683,0
12549860,0
10786325,0
7361153,0
2033479,0
10724536,0
2079333,0
5561539,0
11378840,0
1710413,0
11378052,0
2976395,0
8528987,0
1238479,0
4809290,0
12821198,0
2356536,0
8294710,0
6790675,0
13925793,0
13399762,0
8741247,0
2677618,0
9101336,0
10564246,0
7998821,0
1192788,0
3466008,0
5075477,0
6289166,0
13380265,0
10823185,0
1453252,0
3215818,0
9653219,0
3807942,0
12676991,0
10492017,0
1989942,0
13589042,0
9130181,0
7792380,0
9866600,0
7590207,0
8631283,0
6845649,0
3543509,0
10854953,0
13793113,0
1416245,0
11654738,0
3313848,0
10747133,0
8875174,0
5578649,0
13724037,0
11284004,0
9794685,0
11196396,0
10827813,0
1730372,0
11494767,0
392530,0
4392820,0
671862,0
6393531,0
7388220,0
2400705,0
11964295,0
9666042,0
8025224,0
2775961,0
1177395,0
13177555,0
10352363,0
6371141,0
9893334,0
5989972,0
11707945,0
1591031,0
3285169,0
13382262,0
12371295,0
10782944,0
2331948,0
5170316,0
1555314,0
3553016,0
11706647,0
3276616,0
381317,0
2513492,0
90897,0
11921829,0
12812497,0
6734011,0
1594300,0
7009022,0
12343376,0
10086230,0
7526345,0
11328440,0
4472239,0
10276363,0
3286917,0
12333209,0
7375632,0
7368503,0
13556953,0
4501069,0
12681059,0
1330805,0
12067248,0
10797256,0
12895455,0
12723045,0
9605847,0
6496314,0
6890740,0
12474736,0
8430577,0
4850473,0
5896653,0
1804076,0
5179352,1
13740870,0
6067514,0
7457327,0
1503347,0
2841523,0
1203483,0
6972157,0
10665646,0
11222739,0
9622393,0
11266230,0
1718491,0
8570885,0
837022,0
5925785,0
12237734,0
1974808,0
8514599,0
7900622,0
1813536,0
7864267,0
8200750,0
7174178,0
